timestamp, memory[node1]:1, memory[node2]:1, memory[node3]:1, memory[node4]:1, memory[node5]:1
1442906564000,1199.255552,1228.197888,1135.423488,1128.40704,1155.641344
1442906625000,1201.823744,1229.074432,1133.023232,1129.046016,1158.119424
1442906685000,1208.266752,1227.575296,1132.179456,1127.522304,1162.018816
1442906745000,1206.53824,1230.741504,1134.206976,1135.280128,1165.103104
1442906805000,1208.123392,1236.447232,1140.260864,1132.146688,1162.952704
1442906865000,1210.576896,1233.301504,1140.256768,1132.654592,1168.048128
1442906925000,1214.513152,1237.393408,1144.016896,1130.631168,1167.822848
1442906985000,1221.464064,1245.421568,1143.783424,1134.923776,1170.82112
1442907045000,1220.050944,1239.236608,1141.178368,1136.443392,1160.118272
1442907105000,1207.779328,1232.699392,1136.586752,1139.48672,1165.254656
1442907165000,1205.469184,1231.249408,1139.122176,1140.994048,1167.261696
1442907225000,1199.927296,1251.848192,1132.015616,1135.427584,1168.584704
1442907285000,1199.337472,1245.45024,1134.583808,1134.391296,1167.917056
1442907345000,1202.66752,1246.24896,1133.633536,1133.285376,1168.101376
1442907405000,1204.461568,1242.206208,1135.566848,1142.587392,1156.325376
1442907465000,1208.38144,1237.942272,1140.629504,1143.619584,1156.120576
1442907526000,1204.6336,1239.207936,1139.89632,1143.816192,1163.874304
1442907586000,1207.369728,1240.00256,1139.871744,1140.40832,1163.354112
1442907646000,1200.963584,1253.879808,1131.794432,1141.604352,1159.921664
1442907706000,1202.110464,1246.24896,1132.07296,1147.67872,1158.688768
1442907766000,1203.65056,1243.529216,1128.091648,1139.765248,1163.169792
1442907826000,1201.864704,1243.865088,1134.03904,1140.768768,1163.825152
1442907886000,1205.006336,1242.76736,1132.695552,1141.714944,1164.357632
1442907946000,1202.589696,1241.440256,1129.541632,1147.604992,1162.330112
1442908006000,1209.540608,1240.137728,1134.092288,1149.206528,1161.719808
1442908066000,1203.982336,1243.082752,1130.446848,1146.53184,1154.592768
1442908126000,1215.660032,1244.327936,1128.59136,1149.41952,1157.533696
1442908186000,1210.998784,1240.547328,1131.769856,1147.961344,1154.584576
1442908246000,1208.40192,1248.124928,1130.307584,1149.181952,1162.960896
1442908307000,1205.010432,1247.137792,1130.9056,1154.789376,1157.2224
1442908367000,1212.76416,1248.018432,1131.937792,1149.341696,1155.682304
1442908427000,1219.64544,1245.22496,1132.900352,1148.977152,1153.900544
1442908487000,1235.120128,1262.51008,1149.554688,1146.85952,1148.440576
1442908548000,1237.921792,1272.918016,1156.059136,1161.846784,1138.331648
1442908608000,1241.747456,1248.055296,1157.070848,1173.712896,1140.5312
1442908668000,1230.934016,1233.7152,1145.147392,1162.039296,1155.022848
1442908728000,1233.965056,1235.144704,1150.353408,1163.513856,1144.418304
1442908788000,1236.91008,1238.6304,1148.489728,1162.182656,1138.348032
1442908848000,1235.984384,1236.897792,1154.236416,1165.008896,1150.840832
1442908908000,1235.570688,1236.86912,1152.659456,1165.635584,1151.860736
1442908968000,1235.132416,1236.025344,1147.060224,1163.616256,1152.385024
1442909028000,1236.76672,1240.813568,1142.554624,1162.883072,1152.569344
1442909088000,1238.073344,1239.77728,1146.01984,1164.726272,1146.310656
1442909148000,1232.908288,1242.034176,1144.823808,1162.170368,1143.791616
1442909208000,1237.307392,1242.29632,1146.118144,1169.44896,1144.107008
1442909268000,1230.618624,1237.823488,1146.077184,1165.84448,1144.692736
1442909328000,1229.561856,1239.273472,1157.206016,1169.01888,1147.170816
1442909388000,1227.399168,1233.661952,1153.007616,1164.890112,1144.38144
1442909448000,1227.01824,1240.051712,1150.836736,1164.20608,1142.923264
1442909508000,1230.819328,1241.116672,1151.967232,1163.063296,1145.05728
1442909568000,1233.063936,1239.105536,1152.83968,1161.531392,1146.20416
1442909628000,1230.774272,1240.879104,1153.384448,1163.9808,1149.022208
1442909689000,1231.85152,1240.113152,1151.479808,1164.865536,1136.881664
1442909749000,1236.312064,1244.01664,1152.241664,1166.72512,1139.523584
1442909809000,1232.093184,1239.576576,1156.907008,1171.41504,1136.050176
1442909869000,1234.178048,1247.850496,1158.680576,1171.664896,1139.757056
1442909929000,1234.026496,1243.136,1155.633152,1166.036992,1146.937344
1442909989000,1239.187456,1246.793728,1160.577024,1164.32896,1143.853056
1442910050000,1238.28224,1243.09504,1159.22944,1160.84736,1144.139776
1442910110000,1237.553152,1248.796672,1157.439488,1160.998912,1142.70208
1442910170000,1240.244224,1249.73056,1156.452352,1157.341184,1148.280832
1442910230000,1240.10496,1249.972224,1153.716224,1155.661824,1151.741952
1442910290000,1246.691328,1248.80896,1162.686464,1154.039808,1146.376192
1442910350000,1241.862144,1257.783296,1165.447168,1153.49504,1143.185408
1442910410000,1240.080384,1253.695488,1173.38112,1156.56704,1149.497344
1442910470000,1242.406912,1252.614144,1165.35296,1155.825664,1159.31136
1442910530000,1240.625152,1255.555072,1162.559488,1152.278528,1159.262208
1442910590000,1247.268864,1248.038912,1163.321344,1156.247552,1160.040448
1442910650000,1246.040064,1252.941824,1161.85088,1154.49856,1161.05216
1442910710000,1251.328,1250.533376,1164.61568,1156.38272,1163.014144
1442910770000,1244.102656,1259.3152,1166.606336,1154.281472,1151.442944
1442910830000,1238.532096,1294.737408,1166.143488,1150.984192,1146.937344
1442910891000,1242.902528,1288.249344,1166.348288,1146.068992,1148.043264
1442910951000,1241.45664,1285.226496,1166.135296,1145.831424,1143.31648
1442911011000,1242.415104,1287.471104,1165.746176,1149.60384,1148.735488
1442911071000,1240.305664,1280.049152,1166.217216,1149.93152,1150.09536
1442911131000,1238.700032,1281.630208,1166.483456,1148.936192,1150.980096
1442911191000,1238.908928,1282.9696,1163.825152,1146.437632,1154.502656
1442911252000,1239.18336,1287.593984,1165.561856,1151.606784,1155.03104
1442911313000,1237.991424,1279.213568,1171.009536,1162.309632,1156.829184
1442911373000,1243.992064,1279.787008,1169.723392,1160.8064,1153.265664
1442911433000,1238.540288,1284.11648,1170.546688,1151.381504,1154.772992
1442911493000,1239.887872,1283.264512,1171.308544,1149.800448,1153.732608
1442911553000,1238.663168,1285.922816,1169.649664,1157.517312,1153.302528
1442911613000,1241.489408,1289.486336,1171.734528,1163.698176,1163.091968
1442911673000,1241.481216,1289.27744,1170.796544,1161.916416,1160.060928
1442911733000,1245.761536,1289.998336,1169.75616,1164.312576,1163.083776
1442911794000,1245.683712,1287.225344,1178.619904,1161.240576,1161.498624
1442911854000,1244.647424,1290.133504,1173.389312,1157.57056,1161.019392
1442911915000,1243.824128,1284.849664,1173.31968,1154.965504,1161.527296
1442911975000,1243.807744,1281.015808,1171.951616,1159.61856,1159.08608
